Due_By,Priority,Bid_Sent,Bid_Sender,Bid_Sender_Num,Bid_Num,Time,Job_Name,File,Status,Job_Num,General_Contractor,Addendum,Remarks,EST,WT,TE,MBE,%,Results
17-Aug,,,,,18-506,5:00:00 P.M.,Edgewater ES,#NAME?,,,Brawner Builders,yes,difficult files to dl,,,,,,
17-Aug,,,,,18-509,,Costco - White Marsh Concrete Repairs,#NAME?,,,Costco White Marsh,,,,8/14 12:00:00 P.M.,,,,
22-Aug,,,,,18-500,4:00:00 P.M.,UMB Greene Street Sidewalk Replacement Concrete curb & gutter,#NAME?,,,"Jeffrey Brown Contracting, LLC",yes,,,8/8 10:00:00 A.M.,,,,
22-Aug,,,,,18-507,9:00:00 A.M.,NG 1304 Concourse Dr 2nd Floor Renov,#NAME?,,,Lewis Contractors,,,,,,,,
22-Aug,,,,,18-507,10:00:00 A.M.,NG 1304 Concourse Dr 2nd Floor Renov,#NAME?,,,Manekin,,,,,,,,
22-Aug,,,,,18-513,,BWI Modifications,#NAME?,,,Argo Systems,,,,,,,,
22-Aug,,,,,18-507,10:00:00 A.M.,NG 1304 Concourse Dr 2nd Floor Renov,#NAME?,,,RJK Construction,,,,,,,,
23-Aug,,,,,18-511,,GBMC USP 800 Oncology Pharmacy 2nd floor PPW,#NAME?,,,"Metropolitan Builders, Inc",,,,,,,,
23-Aug,,,,,18-516,,St. Ignatious of Loyola Demo Budget,#NAME?,,,"AR Marani, Inc",,,,,,,,
28-Aug,,,,,18-510,2:00:00 P.M.,Academy Apts,#NAME?,,,Trionfo Builders Group,,,,8/15       10:00:00 A.M.-12:00:00 P.M.,,,,
29-Aug,,,,,18-501,2:00:00 P.M.,NIA Dr. Indig Microscope Project,#NAME?,,,"Shade Construction, Inc",,wage scale,,,,,,
29-Aug,,,,,18-501,,NIA Dr. Indig Microscope Project,#NAME?,,,"Jeffrey Brown Contracting, LLC",,,,,,,,
29-Aug,,,,,18-511,10:00:00 A.M.,GBMC USP 800 Oncology Pharmacy 2nd floor PPW,#NAME?,,,"Strayer Contracting, Inc",,,,,,,,
2-May,No Bid,,,,18-261,,250 W Pratt St Lobby Renov Phase 1,#NAME?,,,Plano-Coudon LLC,,,,4/26 9:00:00 A.M.,,,,
2-May,,,,,18-258,,Bon Secours Parking Bollards,#NAME?,,,Lyons Construction,,,,,,,,
2-May,,Yes,,,18-135,1:00:00 P.M.,Dr. MessTenant Ronov New Office,#NAME?,,,Performance Construction,,moved from 3/15,DS,,,,,
3-May,,Yes,,,18-236,,At Home Crofton,#NAME?,,,Parkway Construction,,,DS KE,,,,,
3-May,No Bid,,,,18-212,,Colgate ES,#NAME?,,,,,,,,,,27,
3-May,,Yes,,,18-247,2:00:00 P.M.,Sheppard Pratt Hosp - Concrete,#NAME?,,,"Jeffrey Brown Contracting, LLC",,,DS,,,,,
3-May,,Yes,,,18-246,2:00:00 P.M.,Sheppard Pratt Hosp - Demo,#NAME?,,,"Jeffrey Brown Contracting, LLC",,,KE,,,,,
4-May,,,,,18-276,,11610 Manor Rd - Chuck Ryan Residential,#NAME?,,,,,,CB,,,,,
4-May,,,,,18-266,,Grace Mem Bap Church Temp Shoring Plans,#NAME?,,,Harford Restoration,,,,,,,,
4-May,,Yes,,,18-222,,Whitney Dr Vacant Space,#NAME?,,,Performance Construction,,moved from 4/13,KE,,,,,
7-May,,,,,18-274,,Clock Tower Plaza Grease Pit,#NAME?,,,Merrit Properties,,,CB,,,,,
7-May,,,,,18-273,,Commerce Drive Concrete Repairs,#NAME?,,,Merrit Properties,,,CB,,,,,
7-May,No Bid,,,,18-272,2:00:00 P.M.,COPT RMF Engineering,#NAME?,,,Plano-Coudon LLC,,,KE,,,,,
7-May,,,,,18-245,1:30:00 P.M.,Immaculate Conception,#NAME?,,,Lewis Contractors,,,,4/25/22 9:30,,,,
7-May,,,,,18-285,,Klein Forest Hill,#NAME?,,,Trionfo Builders Group,,,KE,,,,,
7-May,,,,,18-275,,Pulaski 9611 Access Ramp,#NAME?,,180063,Merrit Properties,,,CB,,,,,Awarded
7-May,,,,,18-217,10:00:00 A.M.,Riviera Beach ES,#NAME?,,,Lewis Contractors,,,,4/23 930a,,Yes,,
7-May,,Yes,,,18-267,,UMBC Engineering Bldg ADA Bathroom Renov,#NAME?,,,"Jeffrey Brown Contracting, LLC",,,KE,,,,29,
8-May,,,,,18-277,,923 Felicia Court Sam Stiles residential,#NAME?,,,,,,CB,,,,,
8-May,,Yes,JB,,18-297,,Blackwater Silo Pad,#NAME?,,180061,,,,JB,,,,,Awarded
8-May,,,,,18-279,,Mt Moriah Church,#NAME?,,,Trionfo Builders Group,,,KE,,,,,
8-May,,,,,18-264,,OLPH Church,#NAME?,,,"AR Marani, Inc",,,DS,,,,,
8-May,,Yes,,,18-232,2:00:00 P.M.,Sterilex Lan & Office Renov,#NAME?,,180083,"Riparius Construction, Inc",,,DS,5/1 10:00:00 A.M.,,,,Awarded
8-May,,,,,18-229,12:00:00 P.M.,Walmart Corry PA,#NAME?,,,"Wagner Development Company, Inc",,,,,,,,
9-May,,,,,18-253,10:00:00 A.M.,AACPS Broadneck ES Health Room,#NAME?,,,Plano-Coudon LLC,on server,,,,,,,
9-May,,Yes,,,18-200,12:00:00 P.M.,Goddard School - Columbia,#NAME?,,,"KasCon, Inc",,bidding,KE,,,,,
9-May,,,,,18-239,10:00:00 A.M.,Weis Markets #123 Baltimore,#NAME?,,,Marco Contractors,,,DS KE,,,,,
10-May,,,,,18-284,,AAMC DV Office Renov DEMO,#NAME?,,,"Jeffrey Brown Contracting, LLC",,,KE,,,,,
10-May,,Yes,,,18-235,5:00:00 P.M.,BPMC Broadway Market North Shed,#NAME?,,,Plano-Coudon LLC,,,KE,,Yes,Yes,,
10-May,,,,,18-252,1:00:00 P.M.,City of Aberdeen Senior Center Repairs,#NAME?,,,Plano-Coudon LLC,,,,,,,,
10-May,,,,,18-278,2:00:00 P.M.,JHBSPH Steam Condensate Mods,#NAME?,,,"J.F. Fischer, Inc.",,,DS,,,,,
10-May,,Yes,,,18-270,12:00:00 P.M.,Perry Hall Village,#NAME?,,,"KasCon, Inc",,,DS KE,5/4 11:00:00 A.M. & 5/7 8a-2:00:00 P.M.,,,,
10-May,,,,,18-253,,,#NAME?,,,"Strayer Contracting, Inc",,,,,,,,
10-May,,,,,18-299,,Access Work,#NAME?,,180062,Arco Murray,,,CB,,,,,Awarded
11-May,,Yes,CB,,18-295,,Harbor Hospital Kitchen,#NAME?,,,"Shade Construction, Inc",,,CB,,,,,
11-May,,,,,18-280,2:00:00 P.M.,JHU Thermoelectric Bldg 48,#NAME?,,,Lewis Contractors,,not attending wt,DS,5/3 1030a-1130a,,,,
11-May,,,,,18-296,,Junior Achievement Plans,#NAME?,,,Merrit Properties,,,DS KE,,,,,
11-May,,,,,18-287,,OCV NH Kitchen Floor Replacement,#NAME?,,180072,G & I Drywall,,,CB,7-May,,,,Awarded
14-May,,,,,18-254,3:00:00 P.M.,Nuclear Camera Spec CT Replacement,#NAME?,,,Whiting-Turner Contracting,,,KE,,,,,Not Awarded
14-May,,,,,18-286,10:00:00 A.M.,Rehab 6 Parking Garages,#NAME?,,,Haris Design,,drawings to long to download,DS,,,,,
14-May,,Yes,,,18-271,2:00:00 P.M.,TU Cook Library Restroom Renovation,#NAME?,,,Rocchi Construction,,,KE,,,,,
14-May,,Yes,,,18-268,,UMBC Sondheim Hall ALC & Sherman Hall Classrooms & Lecture Hall,#NAME?,,,"Jeffrey Brown Contracting, LLC",,,KE,,,,,
15-May,,,,,18-250,1:30:00 P.M.,Edgewater ES Renov,#NAME?,,,"Strayer Contracting, Inc",,,,pre bid 5/2 4:30pm,,,,
15-May,,,,,18-255,4:00:00 P.M.,Hollins Market,#NAME?,,,Mackenzie Contracting,,,DS KE,,,,,
15-May,,Yes,,,18-254,2:00:00 P.M.,Nuclear Camera Spec CT Replacement,#NAME?,,180075,"Shade Construction, Inc",,,KE,5/8/22 7:00,Yes,,,Awarded
15-May,,,,,18-255,,,#NAME?,,,FM Harvey,,,,,,,,
16-May,,,,,18-289,5:00:00 P.M.,ACAC Fitness Floor Renovation,#NAME?,,,"Jeffrey Brown Contracting, LLC",,,KE,,,,,
16-May,,Yes,,,18-265,4:00:00 P.M.,Hollins Street Entrance,#NAME?,,,Trionfo Builders Group,,wage scale,DS,,,,,
16-May,,,,,18-316,,National Aquarium in Baltimore,#NAME?,,,"J.F. Fischer, Inc.",,,CB,,,,,
17-May,,Yes,CB,,18-301,,Annapolis Project,#NAME?,,,G & I Drywall,,,,,,,,
17-May,,,,,18-298,,McCormick HVP Locker Room Upgrade,#NAME?,,,"Riparius Construction, Inc",,,,,,,,
17-May,,,,,18-283,,MSA Camden Yards Elevator Moderniztion,#NAME?,,,"J. Vinton Schafer & Sons, Inc",,,,,,,,
17-May,,,,,18-290,,Pavillion II Lab Expansion DEMO,#NAME?,,,Whiting-Turner Contracting,,,KE,,,,,Not Awarded
17-May,,,,,18-292,1:00:00 P.M.,Ste B005 White Box Space Prep @ Bethesda Metro Center,#NAME?,,,"KasCon, Inc",,,KE,5/8 11:30a,,,,
17-May,,,,,18-290,,,#NAME?,,,"Jeffrey Brown Contracting, LLC",,,,,,,,
18-May,,,,,18-319,,250 Schilling Circle SHED,#NAME?,,,"Walton & Co, Inc",,,CB,,,,,
18-May,,Yes,CB,,18-312,,Brightview Catonsville Apt Renov,#NAME?,,,G & I Drywall,,,CB,,,,,
18-May,,,,,18-281,2:00:00 P.M.,Kiddie Academy BelAir,#NAME?,,,Herman/Stewart,,file taking too long to download,,,,,,
18-May,,,sent,,18-313,,Limoncello Restaurant,#NAME?,,,,,,DS,,,,,
18-May,,,,,18-288,,OCV Parking Lot Repairs 2019 Budgets,#NAME?,,,Oak Crest Village,,,CB,,,,,
21-May,,,,,18-308,11:00:00 A.M.,HCPS Renovation Laboratory,#NAME?,,,Plano-Coudon LLC,,,DS KE,,,Yes,29,
22-May,,,,,18-300,10:00:00 A.M.,FC Myersville Library CONCRETE,#NAME?,,,"Jeffrey Brown Contracting, LLC",,,DS,,,,,
22-May,,,,,18-310,5:00:00 P.M.,Goucher College Concrete In Fill,#NAME?,,,Lewis Contractors,same as      18-305,,DS,,,,,
22-May,,,,,18-320,,Progressive Drawing and Alternate,#NAME?,,180068,CYMA Builders of CM,,,DS,,,,,Awarded
22-May,,,,,18-305,5:00:00 P.M.,VM B10 Sound Studio,#NAME?,,,Lewis Contractors,same as     18-310,har time dl,DS KE,,,,,
23-May,,Yes,,,18-263,4:00:00 P.M.,JHU Stieff Silver Bldg,#NAME?,,180074,"Jeffrey Brown Contracting, LLC",,BS Enviro,KE,,,,,Awarded
23-May,,,,,18-263,1:00:00 P.M.,JHU Stieff Silver Bldg,#NAME?,,,Kimball Construction Company,,,KE,,,,,Not Awarded
23-May,,,,,18-263,,JHU Stieff Silver Bldg,#NAME?,,,Lyons Construction,,,KE,,,,,Not Awarded
23-May,,,,,18-307,2:00:00 P.M.,UMSJMC MRI Suite,#NAME?,,,Whiting-Turner Contracting,,,KE,5/17 10:00:00 A.M.,,,,
24-May,,,,,18-328,,CDS Logistics Bengies Rd,#NAME?,,,"Riparius Construction, Inc",,,CB,,,,,
24-May,,,,,18-322,5:00:00 P.M.,HHC 20 CC Phoenix 2nd & 5th Floors,#NAME?,,,Plano-Coudon LLC,,,KE,,,,,
24-May,,,,,18-323,,MD DCS Electric Room Reno - DEMO,#NAME?,,,"Jeffrey Brown Contracting, LLC",,,KE,,,,,
24-May,,,,,18-318,12:30:00 P.M.,Phoenix Corp Center,#NAME?,,,"KasCon, Inc",,,KE,,,,,
24-May,,,,,18-326,,Sinasi Hospital,#NAME?,,,MODCO Specialty Contracting,,,DS,,,,,
24-May,,,,,18-326,,Sinasi Hospital,#NAME?,,,Natalie Bros,,,DS,,,,,
24-May,,Yes,,,18-214,5:00:00 P.M.,UMB MSTF 4 Animal Surgical Ste Renov,#NAME?,,180089,"Jeffrey Brown Contracting, LLC",,see file*,KE,,,,,Awarded
29-May,,Yes,,,18-293,,818 Blandensburg Rd NE DC,#NAME?,,,"CBP Constructors, LLC",,,KE,,,,,
29-May,,,,,18-332,4:00:00 P.M.,Fusco,#NAME?,,,Trionfo Builders Group,,,DS,,,,,
29-May,,,,,18-333,3:00:00 P.M.,McGinnis Green,#NAME?,,,Urban Built,,,DS,,,,,
30-May,No Bid,No,,,18-309,9:00:00 A.M.,Autograph Playhouse,#NAME?,,,Plano-Coudon LLC,,abatement,DS,5/24 9:00:00 A.M.,,,,
30-May,,,,,18-340,,Bayview Floor Patch,#NAME?,,,"Jeffrey Brown Contracting, LLC",,,DM,,,,,
30-May,,Yes,,,18-311,2:00:00 P.M.,Smoothie King Eldersburh,#NAME?,,,"Strayer Contracting, Inc",,,KE,,,,,
30-May,,Yes,,,18-335,5:00:00 P.M.,UB Barnes & Noble,#NAME?,,180066,"Jeffrey Brown Contracting, LLC",,2 jobs,KE,,,,,Awarded
30-May,No Bid,No,,,18-291,12:00:00 P.M.,Zinburger @ Silver Springs,#NAME?,,,Herman/Stewart,,,,,,,,
31-May,,Yes,,,18-294,10:00:00 A.M.,1312 13th Street NW DC,#NAME?,,,"CBP Constructors, LLC",,,KE,,,,,
31-May,,Yes,,,18-324,12:00:00 P.M.,AAMC Wayson HR DEMO,#NAME?,,,"Jeffrey Brown Contracting, LLC",,,KE,5/23 4:30:00 P.M.,,,,
31-May,,,,,18-324,,AAMC Wayson HR DEMO,#NAME?,,,Mackenzie Contracting,,,KE,5/23 4:00:00 P.M.,,,,
31-May,,,,,18-339,,Bakers Warehouse,#NAME?,,,Merrit Properties,,,DS,,,,,
31-May,,Yes,,,18-334,,Bon Secours Hosp 2nd floor corridor flooring,#NAME?,,,Lyons Construction,,,,,,,,
31-May,,,,,18-331,,Packer Norris Auto,#NAME?,,,"Strayer Contracting, Inc",,,DS,,,,,
31-May,,,,,18-193,5:00:00 P.M.,Tech Site Svcs Indian Head,#NAME?,,,Plano-Coudon LLC,,was cxl now rebid,,,No,No,,
2-Apr,,,,,18-168,,Redeemer Elevator,#NAME?,,,"Shade Construction, Inc",,,DS,,,,,
2-Apr,,,,,18-189,,Ulta Cumberland,#NAME?,,,True Line,,,,,,,,
2-Apr,,Yes,DM,,18-190,,9214 Garden Rd,#NAME?,,,Koutelis,,,,,,,,
3-Apr,,,,,18-181,,Howard County Stairs,#NAME?,,,Plano-Coudon LLC,,,,,,,,
3-Apr,,,,,18-198,,3540 S Hanover Street,#NAME?,,,,,,,,,,,
4-Apr,,Yes,,,18-178,,Potomac Towers Common/Amenity Space,#NAME?,,,"CBP Constructors, LLC",,link with pics too big,DS KE,,,,,
4-Apr,,,,,18-196,,Terry Ramp & Pads concrete,#NAME?,,,,,,CB,,,,,
5-Apr,,Yes,,,18-142,5:00:00 P.M.,Loyola Univ 17-14 AWSC 3rd Floor Reno,#NAME?,,,Plano-Coudon LLC,on server,,KE,3/16 11:00:00 A.M.,Yes,Yes,,
5-Apr,,,,,18-171,,Extra Space Storage Towson,#NAME?,,,Jayeff Construction Corp,,,,,,,,
5-Apr,,,,,18-172,12:00:00 P.M.,Wings over College Park,#NAME?,,,Englewood,,,DS,,,,,
5-Apr,C,,,,18-192,2:00:00 P.M.,CVS Dunkirk,#NAME?,,,Project Builders,,,DS,,,,,
6-Apr,,Yes,,,18-140,5:00:00 P.M.,Harford County Sheriffs Office,#NAME?,,,Trionfo Builders Group,,,,,,,,
6-Apr,,,,,18-171,,Extra Space Storage Towson,#NAME?,,,Brackenridge Construction,,on lead mgr,DS KE,,,,,
6-Apr,,,,,18-176,,201 Homeland Ave,#NAME?,,,"Shade Construction, Inc",,,CB,,,,,
6-Apr,,,,,18-179,,Carroll Co Parks Nature Center,#NAME?,,,Lyons Construction,,,KE,,,,,
6-Apr,,Yes,,,18-183,,MedStar GreenSpring 3rd Floor Call Ctr & Physician Work Room,#NAME?,,,"Jeffrey Brown Contracting, LLC",,,KE,30-Mar,,,,
6-Apr,,,,,18-184,2:00:00 P.M.,HHC 50 Corp Ctr Vero Healthcare,#NAME?,,,Plano-Coudon LLC,,,DS,,No,No,,
6-Apr,,,,,18-204,,Franklin Square Penthouse Pad Extension,#NAME?,,180046,State Mechanical Contractors,,,CB,,,,,Awarded
6-Apr,,,,,18-205,,Good Sam Fire Wall Enclosure,#NAME?,,180048,State Mechanical Contractors,,,CB,,,,,Awarded
6-Apr,,,,,18-207,,JHH North Plant Boiler Feedwater Pump Replacement,#NAME?,,,"J.F. Fischer, Inc.",,,,,,,,
6-Apr,,,,,18-210,,Rotunda Kiosks,#NAME?,,,Mackenzie Contracting,,,DS,,,,,
9-Apr,,,,,18-166,5:00:00 P.M.,Liberty High School Concrete,#NAME?,,,"Jeffrey Brown Contracting, LLC",,prev wage,DS KE,,,Yes,7,
9-Apr,,Yes,,,18-173,5:00:00 P.M.,TU Stephens Hall,#NAME?,,,"Jeffrey Brown Contracting, LLC",,,,,No,,,
9-Apr,,,,,18-208,2:00:00 P.M.,Kirkland VE,#NAME?,,,Mustang Construction Company,,,DS,,,,,
10-Apr,,Yes,,,18-167,5:00:00 P.M.,South Carroll High School Concrete,#NAME?,,,"Jeffrey Brown Contracting, LLC",,prev wage,DS KE,,,Yes,7,
10-Apr,,Yes,,,18-188,12:00:00 P.M.,WM 7030 PA Parking Lot,#NAME?,,,"Wagner Development Company, Inc",,,DS,,,,,
10-Apr,,Yes,,,18-199,11:00:00 A.M.,HCC Maryland Hall Asphalt & Concrete,#NAME?,,,"Strayer Contracting, Inc",,,DS,,,,,
11-Apr,,,,,18-201,12:00:00 P.M.,Baltimore Country Club Water Treatment,#NAME?,,,Whiting-Turner Contracting,,chris will bid on Friday,DS,,,,,
11-Apr,,,,,18-219,,Weinburg Place Concrete Patch,#NAME?,,180045,Weinberg Place,,,,,,,,Awarded
12-Apr,,,,,18-180,,Merrill Lynch Bethesda,#NAME?,,,Vannoy Construction Co.,,go to link big file,KE,,,,,
12-Apr,,,,,18-195,,1419 Eutaw Place Elizabeth Brett residence,#NAME?,,,,,,CB,,,,,
12-Apr,,,,,18-202,12:00:00 P.M.,Northwest Hosp Concrete & Asphalt,#NAME?,,,"Shade Construction, Inc",,,CB,,,,,
12-Apr,,Yes,,,18-209,12:00:00 P.M.,St. Pius Church,#NAME?,,,Mustang Construction Company,,,DS,,,,,
12-Apr,,Yes,,,18-218,,Sound United Vacant Space Demo,#NAME?,,,Performance Construction,,,KE,,,,,
13-Apr,,Yes,,,18-186,2:00:00 P.M.,1st floor consolidated OR waiting room,#NAME?,,180094,"Shade Construction, Inc",,,,,,,,Awarded
13-Apr,,Yes,,,18-187,2:00:00 P.M.,1st floor pharmacy expansion,#NAME?,,180094,"Shade Construction, Inc",,,,,,,,Awarded
13-Apr,,,,,18-203,12:00:00 P.M.,Arundel Garage Gates,#NAME?,,,Whiting-Turner Contracting,,,DS,,,,,
13-Apr,,,,,18-215,,Steve Appler residence,#NAME?,,,Solitare Masonry,,,DS,,,,,
16-Apr,,,,,18-136,12:00:00 P.M.,NAVFAC NRL 210 Chiller Replace & Electrical,#NAME?,,,Doyon Mgmt Services,,,DS,,,,,
16-Apr,,,,,18-194,,Marshall,#NAME?,,,Consolidated Coatings,,postponed no new date,CB,,,,,
16-Apr,,,,,18-224,,M & T Bank,#NAME?,,,,,,DS,,,,,
17-Apr,,,,,18-182,,Millersville WAWA,#NAME?,,,,,,DS,,,,,
17-Apr,No Bid,,,,18-191,4:00:00 A.M.,Mitchell Courthouse 3rd & 4th floor rooms,#NAME?,,,Trionfo Builders Group,,,KE,,,Yes,37/12,
17-Apr,,Yes,,,18-223,,Path Labs Phase ll,#NAME?,,,"Strayer Contracting, Inc",,,DS KE,,,,,Awarded
18-Apr,No Bid,Yes,,,18-216,5:00:00 P.M.,RMR Group A2Z Inc 1st & 4th floors,#NAME?,,,"KasCon, Inc",,,,4/13     1st fl all day       4th fl    10-12,,,,
18-Apr,,Yes,,,18-225,2:00:00 P.M.,Sandy Spring Friends School Kitchen,#NAME?,,,Plano-Coudon LLC,,,DS KE,,No,No,,
19-Apr,,Yes,,,18-226,,Arthritis Care Specialists,#NAME?,,,"KasCon, Inc",,,KE,,,,,
20-Apr,,Yes,,,18-174,5:00:00 P.M.,Autobell Car Wash,#NAME?,,,Parkway Construction,,,DS,,,,,
20-Apr,No Bid,,,,18-213,2:00:00 P.M.,Smoothie King Columbia,#NAME?,,,"Strayer Contracting, Inc",,,KE,,,,,
20-Apr,No Bid,,,,18-220,12:00:00 P.M.,Cross Street Market,#NAME?,,,Mackenzie Contracting,,wait for them to call,,,,,,
23-Apr,,,,,18-169,2:30:00 P.M.,Salisbury FD 16 Driveway Replacement,#NAME?,,,Emaryland,,,,,,,,
23-Apr,,,,,18-233,12:00:00 P.M.,NRH Sports Medicine,#NAME?,,,Bryco General Contractors LLC,,,CB,,,,,
23-Apr,,,,,18-238,,Pep Project Primrose Ave 21215,#NAME?,,180067,Trionfo Builders Group,,,CB,,,,,Awarded
24-Apr,,Yes,,,18-214,5:00:00 P.M.,UMB MSTF 4 Animal Surgical Ste Renov,#NAME?,,180089,"Jeffrey Brown Contracting, LLC",,,KE,,,,,Awarded
24-Apr,,Yes,,,18-221,4:00:00 P.M.,UMB SSW Ground Level Accessibility,#NAME?,,,"Jeffrey Brown Contracting, LLC",,,DS,,,,,
24-Apr,,,,,18-227,,923 Long Cove Rd,#NAME?,,,Rob Dunnigan,,,CB,,,,,
24-Apr,,,,,18-228,,5530 Glenarm Rd,#NAME?,,,Tom Frank,,,CB,,,,,
25-Apr,,Yes,,,18-151,,Lockheed Martin Interior Budget,#NAME?,,,Whiting-Turner Contracting,,,,,,,25,
25-Apr,,,,,18-234,,OCV Auditorium HC Seating,#NAME?,,,"Shade Construction, Inc",,,CB,,,,,
25-Apr,,,,,18-257,,Merck  Warehouse 4 HVAC Pads,#NAME?,,,MDavis,,,JB,,,,,
25-Apr,,,,,18-260,,Soldier's Delight,#NAME?,,,Lyons Construction,,,CB,,,,,
26-Apr,,,,,18-240,5:00:00 P.M.,,#NAME?,,,"KasCon, Inc",,,,,,,,
26-Apr,,,,,18-244,5:00:00 P.M.,BayMark Health Svcs MedMark Clinic,#NAME?,,,Plano-Coudon LLC,,,,,,,,
26-Apr,,,,,18-259,,Massanutten Manor Apts Renov,#NAME?,,,"CBP Constructors, LLC",,orig draw won't dl,KE,,,,,
27-Apr,No Bid,,,,18-156,2:00:00 P.M.,E600 Renov Prince George Hosp Ctr,#NAME?,,,"Shade Construction, Inc",,80% asbestos,,4/6  1130a,Yes,Yes,25,
27-Apr,No Bid,,,,18-157,2:00:00 P.M.,K300 Renov Prince George Hosp Ctr,#NAME?,,,"Shade Construction, Inc",,80% asbestos,,4/6 1130a,Yes,Yes,,
27-Apr,,,,,18-230,,SG White Sidewalk & Pothole Damage,#NAME?,,,Spring Grove Hospital Center,,,,,,,,
27-Apr,,,,,18-231,3:00:00 P.M.,NRH Seneca Meadows,#NAME?,,,Bryco General Contractors LLC,,downloaded everything but movie,,,,,,
27-Apr,No Bid,,,,18-237,3:00:00 P.M.,NRH Tenant Fitout - Seneca Meadows,#NAME?,,,Bryco General Contractors LLC,,downloaded everything but movie,,,,,,
27-Apr,,,,,18-240,,HHC 30 Corportate Center Lobby,#NAME?,,,Plano-Coudon LLC,,,,,,,,
27-Apr,,,,,18-248,2:00:00 P.M.,ALDI Hanover,#NAME?,,,HBW Construction,,,DS,,,,,
27-Apr,,,,,18-249,,Berlin Array,#NAME?,,,,,,,,,,,
27-Apr,,Yes,,,18-251,,"Concrete Landing, sidewalk, ACCU pad",#NAME?,,,"Jeffrey Brown Contracting, LLC",,,DS,,,,,
30-Apr,,,,,18-256,,Amazon Restroom & Smokers Shed,#NAME?,,,Duke Realty,,,,,,,,
30-Apr,,Yes,,,18-262,,Knights of Columbus,#NAME?,,,,,,DS,,,,,
30-Apr,,,,,18-269,,MedStar Elkridge Plumbing Issues,#NAME?,,,"Shade Construction, Inc",,,CB,,,,,
,,,,,18-140,1:00:00 P.M.,Harford County Sheriffs Office,#NAME?,,,Lewis Contractors,,,,,,,,
,,Yes,,,18-167,1:00:00 P.M.,South Carroll High School Concrete,#NAME?,,,Lyons Construction,,,,,,,,
,No Bid,,,,18-187,,1st floor pharmacy expansion,#NAME?,,,"Riparius Construction, Inc",,,,4/4/22 7:00,,,,Not Awarded
,No Bid,,,,,2:00:00 P.M.,,#NAME?,,,HBW Construction,,,,,,,,
,,,,,18-243,,Parkview Apts,#NAME?,,180060,"CBP Constructors, LLC",,,KE,,,,,Awarded
1-Mar,,,,,18-133,,Dunkin Donuts,#NAME?,,,,,,DS,,,,,
2-Mar,,,,,18-119,1:00:00 P.M.,Ruhle Farm,#NAME?,,,"Strayer Contracting, Inc",,,DS,,,,,
4-Mar,,,,,18-124,,People Encouraging People,#NAME?,,,Trionfo Builders Group,,,,,,,,
4-Mar,,,,,18-206,,7 Bellclaire Circle - Concrete,#NAME?,,,Solitare Masonry,,180055,CB,,,,,Awarded
5-Mar,,,,,18-127,5:00:00 P.M.,TU Psychology Bldg Int Reno,#NAME?,,,Rocchi Construction,,,,upto 3/2,,,,
5-Mar,,,,,18-129,,Cornerstone Assembly of God,#NAME?,,,Trionfo Builders Group,,,,,,,,
6-Mar,,,,,18-104,5:00:00 P.M.,700 E. Pratt St. Candler Building,#NAME?,,,Plano-Coudon LLC,,,,,,,,
7-Mar,,,,,18-125,,Glen Burnie Gate Repace,#NAME?,,,ezStorage,,,DS,,,,,
7-Mar,,,,,18-131,,McCormick Rd Hunt Valley,#NAME?,,,"Riparius Construction, Inc",,,KE,3/2 10:00:00 A.M.,,,,
7-Mar,,,,,18-134,,Becton Dickinson,#NAME?,,,"Shade Construction, Inc",,,KE,,,,,
8-Mar,,,,,18-143,,North Harford MS Pool Repair,#NAME?,,,Plano-Coudon LLC,,,,,,,,
8-Mar,,,,,18-139,,Greg Barton Office Cambridge,#NAME?,,,,,,DS,,,,,
8-Mar,,,,,18-130,,Rockville - Mulch Beds to Concrete,#NAME?,,,ezStorage,,,DS,,,,,
8-Mar,,,,,18-145,12:00:00 P.M.,Pikesville Middle Dance Classroom,#NAME?,,,"Jeffrey Brown Contracting, LLC",,,,,No,Yes,20,
12-Mar,,,,,18-138,2:00:00 P.M.,Tesla Rockville,#NAME?,,,"Hanna Design Group, Inc",,,DS KE,,,,,
13-Mar,,,,,18-120,12:00:00 P.M.,Healh Unlimited Fam Fit & Aqua Ctr,#NAME?,,,"KasCon, Inc",on server,,,TBD,,,,Not Awarded
,,,,,,,,#NAME?,,,Consolidated Medical Services,,180056,,,,,,Awarded
13-Mar,,,,,18-123,1:00:00 P.M.,Lansdowne HS Alt/Reno,#NAME?,,,TMI General Contractors. Inc.,,,DS,,,,,
13-Mar,,,,,18-155,,Terrace on the Canopy,#NAME?,,,"Strayer Contracting, Inc",,,DS,,,,,
13-Mar,,,,,18-148,,26L Fire Pump House,#NAME?,,,,,,DS,,,,,
13-Mar,,,,,18-149,,M&T Bank concrete 5 locations,#NAME?,,,,,,DS,,,,,
14-Mar,,,,,18-118,2:00:00 P.M.,PPE Ste 414 Pulmonary Expansion,#NAME?,,,"Shade Construction, Inc",,,,3/1 9:00:00 A.M.,,,,Not Awarded
15-Mar,,,,,,,,#NAME?,,,"Strayer Contracting, Inc",,180057,,,,,,Awarded
14-Mar,,,,,18-121,4:00:00 P.M.,Fred Comm Coll Braddoc Hall A/B & B/C Knuckle restroom Reno,#NAME?,,,"Jeffrey Brown Contracting, LLC",,,,,Yes,,,
14-Mar,,,,,18-132,11:00:00 A.M.,AACPS Point Pleasant window replacement,#NAME?,,,"Strayer Contracting, Inc",,,,,,,,
